Country Name;Country Code;Year;Time Code;Unemployment, total (% of total labor force);Urban population (% of total population) [SP.URB.TOTL.IN.ZS];Individuals using the Internet (% of population) [IT.NET.USER.ZS]
Norway;NOR;2018;YR2018;3,801;82,248;96,4917
Norway;NOR;2019;YR2019;3,684;82,616;98
Norway;NOR;2020;YR2020;4,424;82,974;94,6076
Norway;NOR;2021;YR2021;4,359;83,323;99
Norway;NOR;2022;YR2022;3,231;83,664;99
Norway;NOR;2023;YR2023;3,573;83,995;99
Poland;POL;2015;YR2015;7,475;60,278;67,997
Poland;POL;2016;YR2016;6,141;60,178;73,3007
Poland;POL;2017;YR2017;4,867;60,105;75,9854
Poland;POL;2018;YR2018;3,835;60,058;77,5417
Poland;POL;2019;YR2019;3,267;60,037;80,4359
Poland;POL;2020;YR2020;3,155;60,043;83,1849
Poland;POL;2021;YR2021;3,268;60,075;85,3749
Poland;POL;2022;YR2022;2,811;60,134;86,9411
Poland;POL;2023;YR2023;2,743;60,218;86,4147
Portugal;PRT;2015;YR2015;12,447;63,514;68,6329
Portugal;PRT;2016;YR2016;11,068;64,086;70,4236
Portugal;PRT;2017;YR2017;8,869;64,652;73,7912
Portugal;PRT;2018;YR2018;6,994;65,211;74,661
Portugal;PRT;2019;YR2019;6,464;65,764;75,3464
Portugal;PRT;2020;YR2020;6,801;66,31;78,2617
Portugal;PRT;2021;YR2021;6,577;66,849;82,309
Portugal;PRT;2022;YR2022;6,011;67,381;84,4969
Portugal;PRT;2023;YR2023;6,509;67,906;85,7901
Russian Federation;RUS;2015;YR2015;5,615;74,05;70,0992
Russian Federation;RUS;2016;YR2016;5,591;74,164;73,0914
Russian Federation;RUS;2017;YR2017;5,238;74,292;76,0081
Russian Federation;RUS;2018;YR2018;4,871;74,433;80,8647
Russian Federation;RUS;2019;YR2019;4,513;74,587;82,6422
Russian Federation;RUS;2020;YR2020;5,62;74,754;84,9947
Russian Federation;RUS;2021;YR2021;4,749;74,934;88,2138
Russian Federation;RUS;2022;YR2022;3,867;75,126;90,418
Russian Federation;RUS;2023;YR2023;3,076;75,331;92,245
Romania;ROU;2015;YR2015;6,812;53,887;55,7632
Romania;ROU;2016;YR2016;5,901;53,9;59,504
Romania;ROU;2017;YR2017;4,927;53,936;63,7473
Romania;ROU;2018;YR2018;4,187;53,998;70,6813
Romania;ROU;2019;YR2019;3,912;54,084;73,6575
Romania;ROU;2020;YR2020;5,035;54,194;78,4553
Romania;ROU;2021;YR2021;5,59;54,329;83,5904
Romania;ROU;2022;YR2022;5,614;54,489;85,5031
Romania;ROU;2023;YR2023;5,592;54,672;89,2034
Serbia;SRB;2015;YR2015;17,66;55,696;65,317
Serbia;SRB;2016;YR2016;15,257;55,81;67,0568
Serbia;SRB;2017;YR2017;13,477;55,942;70,3308
Serbia;SRB;2018;YR2018;12,733;56,092;73,3607
Serbia;SRB;2019;YR2019;10,395;56,26;77,4168
Serbia;SRB;2020;YR2020;9,011;56,446;78,368
Serbia;SRB;2021;YR2021;9,843;56,651;81,1659
Serbia;SRB;2022;YR2022;8,439;56,873;83,5383
Serbia;SRB;2023;YR2023;8,268;57,113;85,3575
Slovak Republic;SVK;2015;YR2015;11,492;53,889;77,6347
Slovak Republic;SVK;2016;YR2016;9,679;53,806;80,4759
Slovak Republic;SVK;2017;YR2017;8,142;53,751;81,6257
Slovak Republic;SVK;2018;YR2018;6,544;53,726;80,4489
Slovak Republic;SVK;2019;YR2019;5,761;53,729;82,8537
Slovak Republic;SVK;2020;YR2020;6,719;53,76;89,9209
Slovak Republic;SVK;2021;YR2021;6,894;53,82;88,9256
Slovak Republic;SVK;2022;YR2022;6,143;53,909;89,0677
Slovak Republic;SVK;2023;YR2023;5,841;54,027;87,2131
Slovenia;SVN;2015;YR2015;8,962;53,781;73,0987
Slovenia;SVN;2016;YR2016;8;54,02;75,4985
Slovenia;SVN;2017;YR2017;6,565;54,273;78,8854
Slovenia;SVN;2018;YR2018;5,108;54,541;79,75
Slovenia;SVN;2019;YR2019;4,446;54,822;83,1084
Slovenia;SVN;2020;YR2020;4,971;55,118;86,6013
Slovenia;SVN;2021;YR2021;4,744;55,427;89,004
Slovenia;SVN;2022;YR2022;4,011;55,751;88,9125
Slovenia;SVN;2023;YR2023;3,652;56,088;90,3779
Spain;ESP;2015;YR2015;22,057;79,602;78,6896
Spain;ESP;2016;YR2016;19,635;79,84;80,5613
Spain;ESP;2017;YR2017;17,224;80,08;84,6022
Spain;ESP;2018;YR2018;15,255;80,321;86,1072
Spain;ESP;2019;YR2019;14,105;80,565;90,7187
Spain;ESP;2020;YR2020;15,532;80,81;93,2056
Spain;ESP;2021;YR2021;14,781;81,056;93,8975
Spain;ESP;2022;YR2022;12,917;81,304;94,4855
Spain;ESP;2023;YR2023;12,179;81,552;95,4456
Sweden;SWE;2015;YR2015;7,432;86,553;90,6102
Sweden;SWE;2016;YR2016;6,99;86,852;89,6509
Sweden;SWE;2017;YR2017;6,718;87,146;93,0063
Sweden;SWE;2018;YR2018;6,365;87,431;89,247
Sweden;SWE;2019;YR2019;6,833;87,708;94,4934
Sweden;SWE;2020;YR2020;8,291;87,977;94,5394
Sweden;SWE;2021;YR2021;8,722;88,238;94,6703
Sweden;SWE;2022;YR2022;7,392;88,492;95,0097
Sweden;SWE;2023;YR2023;7,611;88,738;95,7033
Switzerland;CHE;2015;YR2015;4,801;73,718;87,4791
Switzerland;CHE;2016;YR2016;4,918;73,739;89,1347
Switzerland;CHE;2017;YR2017;4,797;73,761;89,6861
Switzerland;CHE;2018;YR2018;4,713;73,797;91,8
Switzerland;CHE;2019;YR2019;4,394;73,849;93,1461
Switzerland;CHE;2020;YR2020;4,817;73,915;94,3499
Switzerland;CHE;2021;YR2021;5,013;73,996;95,5694
Switzerland;CHE;2022;YR2022;4,122;74,092;96,8046
